ID,Language,MWE,Previous,Target,Next
ML.001.1,ML,കണ്ടു കേൾക്കുക,"ഗ്രാമത്തിലെ പ്രശ്‌നങ്ങളെ കുറിച്ച് അദ്ദേഹം എപ്പോഴും ശ്രദ്ധിച്ചു കേട്ടിരുന്ന ഒരാളാണ്.","പഠിച്ചും കണ്ടു കേൾക്കുകയും ചെയ്‌തതിനാൽ, അവസ്ഥയുടെ ഓരോ ഭാഗവും അദ്ദേഹത്തിന് വ്യക്തമാണ്.","ആ അനുഭവങ്ങൾക്ക് നന്ദി, ഇപ്പോൾ അദ്ദേഹം മറ്റുള്ളവർക്ക് ശരിയായ ഉപദേശം നൽകാൻ കഴിയുന്നു."
ML.002.1,ML,ആകാശത്ത് താറാവ് പറന്നാൽ,"അവൻ എപ്പോഴും ഒരുദിവസം ഭാഗ്യം തനിക്ക് ലഭിക്കും എന്ന് കരുതാറുണ്ട്.","ലോട്ടറി കിട്ടിയാൽ അവന്റെ ജീവിതം ആകാശത്ത് താറാവ് പറന്നാൽ എന്നപോലെ മാറിപ്പോകും.","അത് വരെ, അവൻ പതുക്കെ പരിശ്രമിച്ച് മുന്നോട്ട് പോകുകയാണ്."
ML.003.1,ML,കണ്ണിൽ കുളിച്ചാൽ,"കുടുംബത്തെ കുറിച്ചുള്ള വിഷയങ്ങൾ സദാ അവന്റെ മനസ്സിന് വളരെ പ്രിയമാണ്.","ഈ പ്രശ്‌നം കണ്ണിൽ കുളിച്ചാൽ എന്നപോലെ അവന്റെ മനസ്സിലേയ്ക്ക് നേരെ തൊടുന്ന ഒന്നാണ്.","അതുകൊണ്ട് തന്നെയാണ് അദ്ദേഹം ഇതിനെക്കുറിച്ച് ഇങ്ങനെയൊരു വികാരത്തോടെ പ്രതികരിച്ചത്."
ML.004.1,ML,മുട്ടിനെ തട്ടുക,"വർഷങ്ങളോളം മറ്റുള്ളവർക്കായി ജോലി ചെയ്തതിനു ശേഷം, തന്റെ കഴിവുകൾ ഉപയോഗിക്കണം എന്ന് അവൻ തീരുമാനിച്ചു.","ധൈര്യം കൂടി അവൻ മുട്ടിനെ തട്ടുകയും സ്വന്തം ബിസിനസ് തുടങ്ങുകയും ചെയ്തു.","ആ തീരുമാനം അവന്റെ ജീവിതത്തിൽ വലിയ മാറ്റം കൊണ്ടുവന്നു."
ML.005.1,ML,കണ്ണീരൊഴുക്കുക,"സിനിമയിലെ അമ്മ-മകന്‍ രംഗങ്ങൾ അവളുടെ മനസ്സിനെ ആഴത്തിൽ തൊട്ടു.","അതുകൊണ്ടുതന്നെ അവൾ കണ്ണീരൊഴുക്കാതെ ഇരിക്കാനായില്ല.","പിന്നീട് പോലും ആ രംഗം അവളുടെ മനസ്സിൽ വീണ്ടും വീണ്ടും ഓർമ്മയായി."
ML.006.1,ML,വെള്ളം കയറി,"പ്രോജക്റ്റിന്റെ സമയപരിധി അടുത്തപ്പോൾ അവൻ വളരെ സമ്മർദ്ദത്തിലായിരുന്നു.","എന്ത് ചെയ്താലും തീരില്ലെന്ന് തോന്നിയപ്പോൾ അവനു വെള്ളം കയറുകയായിരുന്നു.","അവസാനം, കൂട്ടുകാരുടെ സഹായത്തോടെ ജോലി പൂർത്തിയാക്കാൻ അവനായി."
ML.007.1,ML,പൂവിന്റെ മണം,"സംസാരിച്ചാൽ തന്നെ എല്ലാവർക്കും സന്തോഷം നൽകുന്ന ഒരു പെൺകുട്ടിയായിരുന്നു അവൾ.","അവളുടെ പുഞ്ചിരി പൂവിന്റെ മണം പോലെ എല്ലായിടത്തും സന്തോഷം പരത്തും.","അവൾ വരുമ്പോൾ അന്തരീക്ഷം തന്നെ മാറ്റം പ്രാപിക്കും."
ML.008.1,ML,കണ്ണിൽ കുളിക്കുക,"കുഞ്ഞുകാലത്തെ ഓർമ്മകൾ അവന്റെ ജീവിതത്തിൽ വളരെ പ്രത്യേക സ്ഥാനമാണ് വഹിക്കുന്നത്.","ഒരു പ്രത്യേക ഓർമ്മ കണ്ണിൽ കുളിക്കുന്നതുപോലെ അവന്റെ മനസിനെ പുതുമയോടെ നിറച്ചിരുന്നു.","അതിനെക്കുറിച്ച് സംസാരിക്കുമ്പോൾ പോലും അവന്റെ മുഖത്ത് ഒരു തിളക്കം കാണാമായിരുന്നു."
ML.009.1,ML,പുഴയിൽ ഒഴുകുക,"ജീവിതം എപ്പോഴും നമുക്ക് ഇഷ്ടപ്പെട്ട വഴിയിലൂടെ പോകണമെന്നില്ല.","ചിലപ്പോൾ പുഴയിൽ ഒഴുകുക എന്നപോലെ ജീവിതം കൊണ്ടുപോകുന്ന വഴിയെ സ്വീകരിക്കേണ്ടി വരും.","അങ്ങനെ ചെയ്തപ്പോൾ കാര്യങ്ങൾ സ്വാഭാവികമായി ശരിയായ ദിശയിൽ നീങ്ങുന്നതായി അദ്ദേഹം കണ്ടു."




